Tipologia_API;Zona;Data;Valore
uniqueUserZone;OWM Zona4;2020-02-25 00:00:00+01:00;399
uniqueUserZone;OWM Zona3;2020-02-25 00:00:00+01:00;556
uniqueUserZone;OWM Zona2;2020-02-25 00:00:00+01:00;380
uniqueUserZone;OWM Zona1;2020-02-25 00:00:00+01:00;1126
uniqueUserZone;OWM Zona9;2020-02-24 00:00:00+01:00;418
uniqueUserZone;OWM Zona8;2020-02-24 00:00:00+01:00;454
uniqueUserZone;OWM Zona7;2020-02-24 00:00:00+01:00;506
uniqueUserZone;OWM Zona6;2020-02-24 00:00:00+01:00;719
uniqueUserZone;OWM Zona5;2020-02-24 00:00:00+01:00;318
uniqueUserZone;OWM Zona4;2020-02-24 00:00:00+01:00;418
uniqueUserZone;OWM Zona3;2020-02-24 00:00:00+01:00;626
uniqueUserZone;OWM Zona2;2020-02-24 00:00:00+01:00;425
uniqueUserZone;OWM Zona1;2020-02-24 00:00:00+01:00;1342
uniqueUserZone;OWM Zona9;2020-02-23 00:00:00+01:00;384
uniqueUserZone;OWM Zona8;2020-02-23 00:00:00+01:00;397
uniqueUserZone;OWM Zona7;2020-02-23 00:00:00+01:00;398
uniqueUserZone;OWM Zona6;2020-02-23 00:00:00+01:00;771
uniqueUserZone;OWM Zona5;2020-02-23 00:00:00+01:00;262
uniqueUserZone;OWM Zona4;2020-02-23 00:00:00+01:00;407
uniqueUserZone;OWM Zona3;2020-02-23 00:00:00+01:00;551
uniqueUserZone;OWM Zona2;2020-02-23 00:00:00+01:00;381
uniqueUserZone;OWM Zona1;2020-02-23 00:00:00+01:00;1544
uniqueUserZone;OWM Zona9;2020-02-22 00:00:00+01:00;446
uniqueUserZone;OWM Zona8;2020-02-22 00:00:00+01:00;507
uniqueUserZone;OWM Zona7;2020-02-22 00:00:00+01:00;492
uniqueUserZone;OWM Zona6;2020-02-22 00:00:00+01:00;963
uniqueUserZone;OWM Zona5;2020-02-22 00:00:00+01:00;355
uniqueUserZone;OWM Zona4;2020-02-22 00:00:00+01:00;476
uniqueUserZone;OWM Zona3;2020-02-22 00:00:00+01:00;703
